   X      Y      Z   
1:     -142.06464 -802.435725 668.515925
2:     -142.06444000000002 -802.3746000000001 668.5099375000001
3:     -142.06268 -802.3138250000001 668.505175
4:     -142.06154375 -802.2560875000001 668.4974000000002
5:     -142.0650175 -802.1787 668.4894875
6:     -142.07234625 -802.1039000000001 668.4785125000001
7:     -142.0827275 -802.0262125 668.4669625
8:     -142.09421625000002 -801.9560375000001 668.4555750000001
9:     -142.10572374999998 -801.869675 668.4538375000001
10:     -142.1175525 -801.7893000000001 668.4533
11:     -142.13280375000002 -801.7069375 668.4499875
12:     -142.152825 -801.6074 668.4457375
13:     -142.17756 -801.4971250000001 668.4385875
14:     -142.2026325 -801.37225 668.4325875000001
15:     -142.2253975 -801.247825 668.4271
16:     -142.24630125000002 -801.1093000000001 668.4278875
17:     -142.264005 -800.9559750000001 668.429625
18:     -142.28322625 -800.7843250000001 668.4289125
19:     -142.30364125 -800.5908750000001 668.4207
20:     -142.327455 -800.3701000000001 668.4052750000001
21:     -142.3488775 -800.1219375000001 668.3906499999999
22:     -142.36660375 -799.8520500000001 668.3774
23:     -142.37956000000003 -799.55115 668.3679000000001
24:     -142.39067375000002 -799.2110250000001 668.3614875000001
25:     -142.4010375 -798.821975 668.3558750000001
26:     -142.40958250000003 -798.3918125000001 668.3449875
27:     -142.416505 -797.917025 668.3323875000001
28:     -142.41939125000002 -797.3778875 668.3183625
29:     -142.41300875 -796.7901 668.3184625
30:     -142.40016125 -796.1564125 668.33175
31:     -142.38473625 -795.48165 668.3513625000002
32:     -142.370705 -794.7612000000001 668.3732875000001
33:     -142.35720625 -793.9849625 668.3992375
34:     -142.3438375 -793.1617125 668.4352750000002
35:     -142.331185 -792.3154375000001 668.485425
36:     -142.32556125 -791.4497 668.5571875
37:     -142.32806125000002 -790.575225 668.6443875
38:     -142.34430375 -789.7365625000001 668.74195
39:     -142.38177000000002 -788.9357625 668.8322625000001
40:     -142.43866 -788.191425 668.9131
41:     -142.51147125000003 -787.5151500000001 668.9873
42:     -142.59796 -786.9341375 669.056925
43:     -142.69965 -786.4593500000001 669.1165125
44:     -142.81660625 -786.1400000000001 669.1663125000001
45:     -142.94924875000004 -785.9593125000001 669.1930000000001
46:     -143.0935025 -785.91815 669.1905375
47:     -143.25145 -786.0235625 669.16265
48:     -143.41826500000002 -786.2585875 669.1174375000002
49:     -143.59160624999998 -786.6094375000001 669.0686625000001
50:     -143.7689425 -787.06915 669.0213749999999
51:     -143.9518875 -787.6320500000002 668.9708375
52:     -144.1426375 -788.2648875000001 668.9172750000001
53:     -144.3436375 -788.95785 668.8656000000001
54:     -144.5562 -789.673625 668.8022500000002
55:     -144.78078749999997 -790.4001750000001 668.741825
56:     -145.01455 -791.1370750000001 668.6866625
57:     -145.25592500000002 -791.8803500000001 668.6420125
58:     -145.506775 -792.6147375 668.6048375
59:     -145.76835 -793.3264750000001 668.5677875
60:     -146.04507500000003 -794.0237625000001 668.5253125
61:     -146.3385125 -794.6826875000002 668.4857625000001
62:     -146.6439125 -795.312475 668.4501
63:     -146.9559625 -795.9264875000001 668.425675
64:     -147.271975 -796.5020625000001 668.4160375
65:     -147.5895125 -797.0392 668.4149125
66:     -147.90800000000002 -797.5324625000001 668.413775
67:     -148.22177500000004 -797.98175 668.4078625000001
68:     -148.5261125 -798.4023125 668.3998124999999
69:     -148.81696250000002 -798.7958500000002 668.3953750000001
70:     -149.087925 -799.1771625 668.3969500000001
71:     -149.3360125 -799.5333875000001 668.4006500000002
72:     -149.56451250000003 -799.8761000000001 668.4028000000001
73:     -149.77730000000003 -800.20015 668.3925375
74:     -149.97605 -800.5164125000001 668.3714750000001
75:     -150.16084999999998 -800.8365125 668.3444625
76:     -150.32913749999997 -801.1701875000001 668.3234
77:     -150.4801375 -801.51295 668.3107750000001
78:     -150.613525 -801.86525 668.3050000000002
79:     -150.72805 -802.2323625000001 668.3001625
80:     -150.8261625 -802.598025 668.2959375000002
81:     -150.90691250000003 -803.0053375 668.2914000000001
82:     -150.97001250000005 -803.4352250000002 668.2901375000001
83:     -151.0114125 -803.89625 668.2979625
84:     -151.02952500000004 -804.3925125000001 668.3175125
85:     -151.0245875 -804.9313125000002 668.3476125
86:     -151.00295 -805.505175 668.382925
87:     -150.9755 -806.0963 668.4168875
88:     -150.94475 -806.7137500000001 668.450725
89:     -150.90500000000003 -807.3460625 668.4905125
90:     -150.8642625 -807.9898625000001 668.5290375000001
91:     -150.82438750000003 -808.620125 668.5716000000001
92:     -150.78012500000003 -809.2571375000001 668.6240625
93:     -150.73475000000002 -809.8860125 668.6768125000001
94:     -150.6885625 -810.4964375 668.7269749999999
95:     -150.6403375 -811.0799625000002 668.7706874999999
96:     -150.585525 -811.63925 668.8122875
97:     -150.516325 -812.1905125000002 668.8597875
98:     -150.4308 -812.7098500000001 668.9156500000001
99:     -150.338425 -813.2342249999999 668.9667000000001
100:     -150.23170000000002 -813.7399499999999 669.020275
101:     -150.1124375 -814.23065 669.0688125
102:     -149.984675 -814.6911875000001 669.1054
103:     -149.8436 -815.1242875 669.1382875
104:     -149.6945 -815.5431249999999 669.1709875
105:     -149.53671250000002 -815.9419125 669.2034000000001
106:     -149.37332500000002 -816.3144125000001 669.23125
107:     -149.2026625 -816.6528125000001 669.2520125
108:     -149.03375000000003 -816.9692625 669.2615375
109:     -148.86632500000002 -817.2451875 669.2676749999999
110:     -148.6973625 -817.4935375000001 669.2732375
111:     -148.52202499999999 -817.7157250000001 669.286075
112:     -148.3414 -817.918175 669.304925
113:     -148.1619375 -818.104925 669.3292625000001
114:     -147.98174999999998 -818.2707750000001 669.3537625
115:     -147.8049875 -818.4190625000001 669.3814875000002
116:     -147.6324875 -818.5446250000001 669.41405
117:     -147.4655625 -818.6667875 669.4502625
118:     -147.29600000000002 -818.7785500000001 669.4927999999999
119:     -147.12263749999997 -818.8753750000001 669.542425
120:     -146.937 -818.9431500000001 669.6068875000001
121:     -146.75735000000003 -818.9948375 669.672
122:     -146.58710000000002 -819.0366999999999 669.7314875000001
123:     -146.424175 -819.0536999999999 669.7875125000002
124:     -146.2516125 -819.046975 669.8514250000001
125:     -146.0769825 -819.0190125 669.9219625000001
126:     -145.8961975 -818.9878125 669.9968875
127:     -145.71177 -818.9396375000001 670.0768625000002
128:     -145.5264725 -818.8814125000001 670.1590125
129:     -145.344405 -818.814375 670.2386875000001
130:     -145.17725875000002 -818.7445250000001 670.3048625
131:     -145.012 -818.6604500000001 670.3762250000001
132:     -144.84231375 -818.5583750000001 670.46225
133:     -144.672445 -818.4458374999999 670.5595625
134:     -144.51263375000002 -818.3189375000001 670.6568875
135:     -144.35784875 -818.1741125000001 670.7549750000001
136:     -144.21199375000003 -818.0010874999999 670.8530000000002
137:     -144.0583 -817.7827125000001 670.9616874999999
138:     -143.91255625 -817.5398875000001 671.0761375
139:     -143.77393375000003 -817.27145 671.2039
140:     -143.64108249999998 -816.9877 671.3434625
141:     -143.5147025 -816.6898625 671.4857375
142:     -143.39507625 -816.3740625 671.6231124999999
143:     -143.27836 -816.0448125000001 671.7607625
144:     -143.1730575 -815.7191 671.8978750000001
145:     -143.0748225 -815.4003375 672.0359500000001
146:     -142.98585000000003 -815.1008875 672.1759374999999
147:     -142.921975 -814.8369250000001 672.306525
148:     -142.8686925 -814.5847249999999 672.4319000000002
149:     -142.8227875 -814.3575500000001 672.5388500000001
150:     -142.78771250000003 -814.151575 672.63165
151:     -142.74847375000002 -813.9468249999999 672.7200125
152:     -142.71636999999998 -813.7545375 672.8078999999999
153:     -142.69304125000002 -813.6041875 672.887
154:     -142.66748750000002 -813.4681875000001 672.95995
155:     -142.63925999999998 -813.3421125000001 673.0219374999999
156:     -142.6059 -813.2183875 673.0692125000002
157:     -142.56063 -813.0886374999999 673.1067
158:     -142.51188625 -812.9745750000001 673.1344750000001
159:     -142.45030624999998 -812.8535375 673.1643875000001
160:     -142.368285 -812.7187500000001 673.1949125
161:     -142.28663 -812.6180000000002 673.2136624999999
162:     -142.19804249999999 -812.5385375000001 673.2179375
163:     -142.09960875000002 -812.4428500000001 673.212075
164:     -142.00064 -812.3569000000001 673.1975125
165:     -141.90128124999998 -812.2823999999999 673.17975
166:     -141.8005625 -812.2213375 673.1646250000001
167:     -141.7041675 -812.1827 673.1486875
168:     -141.60509375 -812.1432374999999 673.1320625000001
169:     -141.51353625000002 -812.1101625000001 673.110275
170:     -141.43598000000003 -812.0885125 673.0808875
171:     -141.35597625 -812.0413875 673.0491750000001
172:     -141.28059125 -811.9764 673.0194375
173:     -141.21057375 -811.9017125 672.9973
174:     -141.13973375 -811.816325 672.98215
175:     -141.0707 -811.7186250000002 672.9716
176:     -141.00259375000002 -811.611175 672.9610749999999
177:     -140.93671 -811.4837 672.9484249999999
178:     -140.86926125 -811.3487375 672.9328750000001
179:     -140.80233625 -811.2143625000001 672.9166375
180:     -140.7279775 -811.078575 672.9062375000001
181:     -140.66099375000005 -810.962675 672.8984375000001
182:     -140.5928 -810.8649625 672.8896000000001
183:     -140.52305625 -810.7904875 672.871025
184:     -140.45491125 -810.7245750000001 672.8395499999999
185:     -140.38360875 -810.6665125000002 672.8002250000001
186:     -140.30873375 -810.620875 672.7558750000002
187:     -140.227955 -810.5880000000001 672.7130625000001
188:     -140.14181375 -810.5592375000001 672.6716875
189:     -140.0487475 -810.5366875 672.6322625000001
190:     -139.95215249999998 -810.5124125000001 672.5885499999999
191:     -139.86276625 -810.4970250000001 672.535125
192:     -139.7657825 -810.4674625000001 672.4798125
193:     -139.66790375000002 -810.4380499999999 672.4256375
194:     -139.56806874999998 -810.4145375 672.378425
195:     -139.46793000000002 -810.3956250000001 672.3301875000001
196:     -139.36854000000002 -810.3775125000001 672.2844
197:     -139.27277375 -810.3721875 672.2345250000001
198:     -139.1801025 -810.3750375000001 672.1818625
199:     -139.09088625 -810.381275 672.1257375000001
200:     -139.009405 -810.4033625000001 672.0678750000001
201:     -138.9203775 -810.4139625000001 672.0181
202:     -138.84312125 -810.4314375000001 671.9691500000001
203:     -138.77486625000003 -810.4352375 671.9158375000001
204:     -138.72120750000002 -810.4153250000002 671.8512875
205:     -138.68543125000002 -810.3642625000002 671.7785875000001
206:     -138.67005875 -810.2889125 671.6938625
207:     -138.67506 -810.1820375 671.60375
208:     -138.7002175 -810.0477125000001 671.5130750000001
209:     -138.74669125000003 -809.88375 671.4212
210:     -138.81392875 -809.703125 671.32645
211:     -138.9030575 -809.5135875 671.2257375
212:     -139.0086075 -809.3248499999999 671.1154750000001
213:     -139.12594625000003 -809.14375 671.0055625
214:     -139.2505725 -808.9834 670.9050625
215:     -139.380295 -808.862775 670.8165875
216:     -139.51314250000001 -808.775675 670.7376624999999
217:     -139.65005125000002 -808.73065 670.6605625000001
218:     -139.79428750000002 -808.7276 670.5794875000001
219:     -139.94664375 -808.7722875 670.4951875
220:     -140.10285375 -808.8555500000001 670.4150750000001
221:     -140.27244625 -809.000925 670.3392875000001
222:     -140.44116625 -809.1846125000001 670.28185
223:     -140.61079 -809.4082374999999 670.2377625000001
224:     -140.77848375000002 -809.66875 670.2006000000001
225:     -140.94232000000002 -809.9528625 670.1668375000002
226:     -141.1002375 -810.2562625 670.1392750000001
227:     -141.24875 -810.5703625000001 670.1206375000002
228:     -141.38315875 -810.8886500000001 670.1131875000001
229:     -141.50387500000002 -811.2071125 670.115725
230:     -141.61490500000002 -811.51585 670.1262875
231:     -141.713455 -811.7983875 670.140075
232:     -141.79954874999999 -812.0416625 670.1542625
233:     -141.88565125 -812.2639125000002 670.1607875
